Date,Symbol,Company Name
"Mar 2, 2023",OIIM,O2micro International Ltd.
"Mar 2, 2023",CYRNQ,Cyren Ltd.
"Mar 2, 2023",ALBO,Albireo Pharma Inc
"Mar 1, 2023",OPNT,Opiant Pharmaceuticals Inc
"Mar 1, 2023",IBER,Ibere Pharmaceuticals
"Feb 28, 2023",UMPQ,Umpqua Holdings Corp
"Feb 28, 2023",RFP,Resolute Forest Products Inc
"Feb 28, 2023",PME,Pingtan Marine Enterprise Ltd.
"Feb 28, 2023",COWN,Cowen Inc
"Feb 27, 2023",ELVT,Elevate Credit Inc
"Feb 27, 2023",COUP,Coupa Software Inc
"Feb 23, 2023",CINC,Cincor Pharma Inc
"Feb 22, 2023",SRNEQ,Sorrento Therapeutics Inc
"Feb 22, 2023",ONEM,1life Healthcare Inc
"Feb 21, 2023",PAYA,Paya Holdings Inc
"Feb 21, 2023",LHCG,Lhc Group Inc
"Feb 17, 2023",WEBR,Weber Inc
"Feb 16, 2023",SJIV,South Jersey Industries Inc
"Feb 16, 2023",SJIJ,South Jersey Industries Inc
"Feb 15, 2023",REED,Reed's Inc
"Feb 15, 2023",PTNRY,Partner Communications Co Ltd.
"Feb 14, 2023",AVYAQ,Avaya Holdings Corp
"Feb 13, 2023",FFBW,Ffbw Inc
"Feb 10, 2023",VLDR,Velodyne Lidar Inc
"Feb 10, 2023",SCOB,Scion Tech Growth Ii
"Feb 9, 2023",PICC,Pivotal Investment Corp Iii
"Feb 8, 2023",MTCR,Metacrine Inc
"Feb 8, 2023",GSQD,G Squared Ascend I Inc
"Feb 7, 2023",QUMU,Qumu Corp
"Feb 7, 2023",HZN,Horizon Global Corp
"Feb 3, 2023",CNNB,Cincinnati Bancorp Inc
"Feb 2, 2023",ZNHYY,China Southern Airlines Co Ltd.
"Feb 2, 2023",STOR,Store Capital Corp
"Feb 2, 2023",MIT,Mason Industrial Technology Inc
"Feb 2, 2023",HYRE,Hyrecar Inc
"Feb 2, 2023",CEAYY,China Eastern Airlines Corp Ltd.
"Feb 2, 2023",AHPI,Allied Healthcare Products Inc
"Feb 1, 2023",IVCRQ,Invacare Corp
"Jan 31, 2023",SJI,South Jersey Industries Inc
"Jan 31, 2023",PFHD,Professional Holding Corp
"Jan 31, 2023",KNBE,Knowbe4 Inc
"Jan 31, 2023",ELAT,Elanco Animal Health Inc
"Jan 30, 2023",VIVO,Meridian Bioscience Inc
"Jan 30, 2023",MFGP,Micro Focus International PLC
"Jan 30, 2023",APNC,Apeiron Capital Investment Corp
"Jan 26, 2023",SVFA,Svf Investment Corp
"Jan 23, 2023",TTM,Tata Motors Ltd.
"Jan 23, 2023",TCDAQ,Tricida Inc
"Jan 23, 2023",RKLYQ,Rockley Photonics Holdings Ltd.
"Jan 23, 2023",RKLWQ,Rockley Photonics Holdings Ltd.
"Jan 23, 2023",BNFT,Benefitfocus Inc
"Jan 20, 2023",VGFCQ,Very Good Food Co Inc
"Jan 19, 2023",YGYI,Youngevity International Inc
"Jan 19, 2023",MMX,Maverix Metals Inc
"Jan 19, 2023",AVEO,Aveo Pharmaceuticals Inc
"Jan 19, 2023",AVCTQ,American Virtual Cloud Technologies Inc
"Jan 18, 2023",VIVE,Viveve Medical Inc
"Jan 18, 2023",PRTYQ,Party City Holdco Inc
"Jan 18, 2023",AYLA,Ayala Pharmaceuticals Inc
"Jan 13, 2023",VLNS,Valens Company Inc
"Jan 13, 2023",SMIT,Schmitt Industries Inc
"Jan 13, 2023",FINM,Marlin Technology Corp
"Jan 12, 2023",SWIR,Sierra Wireless Inc
"Jan 12, 2023",POW,Powered Brands
"Jan 12, 2023",ARCK,Arbor Rapha Capital Bioholdings Corp I
"Jan 11, 2023",USER,Usertesting Inc
"Jan 11, 2023",STAB,Statera Biopharma Inc
"Jan 10, 2023",IMGO,Imago Biosciences Inc
"Jan 9, 2023",PKBO,Peak Bio Inc
"Jan 4, 2023",SPNE,Seaspine Holdings Corp
"Jan 4, 2023",POSH,Poshmark Inc
"Jan 3, 2023",OYST,Oyster Point Pharma Inc
"Jan 3, 2023",OGBLY,Onion Global Ltd.
"Dec 30, 2022",TUEMQ,Tuesday Morning Corp
"Dec 30, 2022",PCSB,Pcsb Financial Corp
"Dec 30, 2022",EMCF,Emclaire Financial Corp
"Dec 30, 2022",DSHK,Drive Shack Inc
"Dec 30, 2022",CRZWQ,Core Scientific Inc
"Dec 30, 2022",CORZQ,Core Scientific Inc
"Dec 29, 2022",RBCN,Rubicon Technology Inc
"Dec 29, 2022",GIIX,Gores Holdings Viii Inc
"Dec 29, 2022",CLAS,Class Acceleration Corp
"Dec 29, 2022",AATC,Autoscope Technologies Corp
"Dec 28, 2022",MNRL,Brigham Minerals Inc
"Dec 28, 2022",ISAA,Iron Spark I Inc
"Dec 27, 2022",OMEG,Omega Alpha Spac
"Dec 27, 2022",FWPAY,Forward Pharma A
"Dec 23, 2022",GIW,Giginternational1 Inc
"Dec 23, 2022",EVKG,Ever-glory International Group Inc
"Dec 22, 2022",OTIC,Otonomy Inc
"Dec 22, 2022",LFG,Archaea Energy Inc
"Dec 21, 2022",SCOA,Scion Tech Growth I
"Dec 21, 2022",RNWK,Realnetworks Inc
"Dec 21, 2022",HIL,Hill International Inc
"Dec 21, 2022",HIII,Hudson Executive Investment Corp Iii
"Dec 21, 2022",HCII,Hudson Executive Investment Corp Ii
"Dec 21, 2022",HCIC,Hennessy Capital Investment Corp V
"Dec 21, 2022",ABMD,Abiomed Inc
"Dec 20, 2022",COLI,Colicity Inc
"Dec 20, 2022",CLVSQ,Clovis Oncology Inc
"Dec 20, 2022",ARGU,Argus Capital Corp
"Dec 20, 2022",AGCB,Altimeter Growth Corp 2
"Dec 16, 2022",SCPS,Scopus Biopharma Inc
"Dec 16, 2022",BTRS,Btrs Holdings Inc
"Dec 15, 2022",TRQ,Turquoise Hill Resources Ltd.
"Dec 15, 2022",GTPB,Gores Technology Partners Ii Inc
"Dec 15, 2022",GTPA,Gores Technology Partners Inc
"Dec 15, 2022",GSEV,Gores Holdings Vii Inc
"Dec 14, 2022",STYWQ,Starry Group Holdings Inc
"Dec 14, 2022",STRYQ,Starry Group Holdings Inc
"Dec 14, 2022",RZA,Reinsurance Group Of America Inc
"Dec 14, 2022",PCPC,Periphas Capital Partnering Corp
"Dec 14, 2022",HLAH,Hamilton Lane Alliance Holdings I Inc
"Dec 14, 2022",AMPI,Advanced Merger Partners Inc
"Dec 13, 2022",EPWR,Empowerment & Inclusion Capital I Corp
"Dec 12, 2022",WBEVQ,Winc Inc
"Dec 12, 2022",BSKY,Big Sky Growth Partners Inc
"Dec 9, 2022",DHBC,Dhb Capital Corp
"Dec 8, 2022",OEPW,One Equity Partners Open Water I Corp
"Dec 8, 2022",LOTZ,Carlotz Inc
"Dec 7, 2022",MACC,Mission Advancement Corp
